part_id,part_abs_freq,type
part_8590236125,7,Consumable
part_8589935469,424,Part
part_8590198178,1,Part
part_8590017730,41,Part
part_8590053733,2,Consumable
part_8590106293,6,Consumable
part_8589958176,1,Part
part_8589958217,1,Part
part_8589987915,1,Consumable
part_8589935620,53,Consumable
part_8589953790,3,Part
part_8589984980,5,Part
part_8589994940,1,Part
part_8590106481,1,Consumable
part_8590022301,2,Consumable
part_8589979413,8,Part
part_8590214746,1,Part
part_8590082641,5,Part
part_8589951397,8,Part
part_8590212620,1,Consumable
part_8590042501,3,Non-aircraft material
part_8590064570,6,Consumable
part_8590239243,1,Consumable
part_8590206593,1,Consumable
part_8590048545,3,Part
part_8590189944,1,Part
part_8590236341,1,Consumable
part_8590117074,4,Consumable
part_8590150325,3,Consumable
part_8590162303,3,Consumable
part_8590098417,1,Part
part_8589939554,57,Part
part_8589966012,4,Consumable
part_8589976523,6,Consumable
part_8589935677,52,Consumable
part_8589934755,134,Consumable
part_8589934756,140,Consumable
part_8590110361,44,Consumable
part_8590214736,1,Part
part_8590152445,2,Part
part_8590059677,1,Consumable
part_8590158489,4,Consumable
part_8589953912,7,Consumable
part_8589953763,20,Consumable
part_8590153607,1,Consumable
part_8590217519,2,Part
part_8590167240,1,Consumable
part_8590100017,2,Consumable
part_8589952864,8,Consumable
part_8590108293,3,Part
part_8589950466,1,Consumable
part_8590048317,13,Consumable
part_8590035464,1,Consumable
part_8589982507,7,Consumable
part_8589939177,4,Consumable
part_8590254553,1,Consumable
part_8590254552,1,Consumable
part_8590220938,1,Part
part_8589995610,2,Part
part_8590277796,1,Consumable
part_8590024963,1,Consumable
part_8590010886,6,Consumable
part_8590215794,1,Part
part_8590138773,1,Consumable
part_8590244415,1,Part
part_8590044317,2,Part
part_8590217794,1,Part
part_8589936800,17,Consumable
part_8590115677,10,Consumable
part_8590042454,1,Consumable
part_8589938247,77,Part
part_8590003775,2,Part
part_8589942167,1,Consumable
part_8590031531,2,Consumable
part_8590047048,1,Consumable
part_8590073621,1,Consumable
part_8589952960,3,Part
part_8590080962,5,Part
part_8590014715,1,Part
part_8590177090,2,Part
part_8590274458,1,Consumable
part_8589944806,12,Consumable
part_8590021375,5,Consumable
part_8589935291,11,Consumable
part_8589949322,5,Consumable
part_8590126285,3,Non-aircraft material
part_8590003617,19,Consumable
part_8589948336,2,Consumable
